SLC18A2,DN,-1.231432732,0.182072623,-6.763415131,1.35E-11,-1.588288516,-0.874576949,FE,-1.361881685,1.53E-07
AGTR1,DN,-1.172794678,0.17926612,-6.542199266,6.06E-11,-1.524149816,-0.821439539,FE,-1.242047842,3.44E-07
RET,DN,-1.094830082,0.17861206,-6.129653738,8.81E-10,-1.444903286,-0.744756877,FE,-1.219683092,3.33E-06
PCDH8,DN,-1.068597933,0.17859732,-5.983280912,2.19E-09,-1.418642248,-0.718553619,FE,-1.198657987,6.20E-06
SLC6A3,DN,-1.061185909,0.179536508,-5.910697052,3.41E-09,-1.413070998,-0.709300819,FE,-1.186070243,7.72E-06
ALDH1A1,DN,-1.034191683,0.176915982,-5.845665661,5.05E-09,-1.380940637,-0.68744273,FE,-1.111495013,9.53E-06
PCSK1,DN,-1.025231352,0.177100047,-5.788995372,7.08E-09,-1.372341065,-0.678121638,FE,-1.177696841,1.13E-05
DCLK1,DN,-1.026671908,0.178236132,-5.760178349,8.40E-09,-1.376008307,-0.677335508,FE,-1.069780466,1.13E-05
PSMC1,DN,-1.025143442,0.178331063,-5.748541087,9.00E-09,-1.374665902,-0.675620981,FE,-1.071090531,1.13E-05
PRKAR2B,DN,-1.010569549,0.176817273,-5.715332727,1.09E-08,-1.357125037,-0.664014062,FE,-1.073037402,1.24E-05
ATPIF1,DN,-1.005977811,0.176963575,-5.684660301,1.31E-08,-1.352820045,-0.659135577,FE,-1.020673667,1.35E-05
GBE1,DN,-0.999418014,0.177903901,-5.617740847,1.93E-08,-1.348103253,-0.650732774,FE,-1.099343859,1.83E-05
MUTYH,UP,0.979378815,0.175337153,5.585689053,2.33E-08,0.63572431,1.323033319,FE,0.973235018,2.03E-05
KCNJ6,DN,-0.983507275,0.176833216,-5.56177905,2.67E-08,-1.330094009,-0.636920541,FE,-1.0203642,2.16E-05
DDC,DN,-0.981360345,0.177439514,-5.530675342,3.19E-08,-1.329135402,-0.633585288,FE,-1.121545455,2.41E-05
KIAA0319,DN,-0.964481483,0.17591236,-5.482738563,4.19E-08,-1.309263374,-0.619699592,FE,-0.947785955,2.97E-05
SNCA,DN,-0.959126922,0.175839526,-5.454558165,4.91E-08,-1.30376606,-0.614487784,FE,-0.969711111,3.27E-05
TSSC1,DN,-0.950265642,0.174529815,-5.444718083,5.19E-08,-1.292337795,-0.60819349,FE,-0.958350261,3.27E-05
DLK1,DN,-0.961504267,0.177391506,-5.420238475,5.95E-08,-1.30918523,-0.613823304,FE,-1.092024698,3.55E-05
RALYL,DN,-0.943099011,0.175003861,-5.389018299,7.08E-08,-1.286100277,-0.600097746,FE,-1.0049911,3.95E-05
